pipeline,identifier_type,identifier,eid,pid,probe_name,request_kind,object_or_dataset,collection,required,purpose
opto_behavior,eid,3bec32f7-9c81-41be-bd39-dd5f9056fee5,3bec32f7-9c81-41be-bd39-dd5f9056fee5,,,dataset_pattern,_iblrig_taskData.raw*,raw_behavior_data,false,Legacy fallback for optogenetic trial identification
opto_behavior,eid,3bfd3981-dfb8-4001-95a4-fb3bb3be8d20,3bfd3981-dfb8-4001-95a4-fb3bb3be8d20,,,alf_object,trials,ONE-resolved ALF collection,true,"Choices, contrasts, block probability, event times, feedback"
opto_behavior,eid,3bfd3981-dfb8-4001-95a4-fb3bb3be8d20,3bfd3981-dfb8-4001-95a4-fb3bb3be8d20,,,alf_object,wheel,ONE-resolved ALF collection,true,Wheel timestamps and position
opto_behavior,eid,3bfd3981-dfb8-4001-95a4-fb3bb3be8d20,3bfd3981-dfb8-4001-95a4-fb3bb3be8d20,,,dataset,_ibl_laserStimulation.intervals.npy,ONE-resolved,true,Optogenetic trial timing
opto_behavior,eid,3bfd3981-dfb8-4001-95a4-fb3bb3be8d20,3bfd3981-dfb8-4001-95a4-fb3bb3be8d20,,,dataset_pattern,_iblrig_taskData.raw*,raw_behavior_data,false,Legacy fallback for optogenetic trial identification
opto_behavior,eid,3c7bfbf6-bff7-4a9e-88ed-71d533e1aee8,3c7bfbf6-bff7-4a9e-88ed-71d533e1aee8,,,alf_object,trials,ONE-resolved ALF collection,true,"Choices, contrasts, block probability, event times, feedback"
opto_behavior,eid,3c7bfbf6-bff7-4a9e-88ed-71d533e1aee8,3c7bfbf6-bff7-4a9e-88ed-71d533e1aee8,,,alf_object,wheel,ONE-resolved ALF collection,true,Wheel timestamps and position
opto_behavior,eid,3c7bfbf6-bff7-4a9e-88ed-71d533e1aee8,3c7bfbf6-bff7-4a9e-88ed-71d533e1aee8,,,dataset,_ibl_laserStimulation.intervals.npy,ONE-resolved,true,Optogenetic trial timing
opto_behavior,eid,3c7bfbf6-bff7-4a9e-88ed-71d533e1aee8,3c7bfbf6-bff7-4a9e-88ed-71d533e1aee8,,,dataset_pattern,_iblrig_taskData.raw*,raw_behavior_data,false,Legacy fallback for optogenetic trial identification
opto_behavior,eid,3c8df838-955c-4a47-880b-e76dcc2a9be6,3c8df838-955c-4a47-880b-e76dcc2a9be6,,,alf_object,trials,ONE-resolved ALF collection,true,"Choices, contrasts, block probability, event times, feedback"
opto_behavior,eid,3c8df838-955c-4a47-880b-e76dcc2a9be6,3c8df838-955c-4a47-880b-e76dcc2a9be6,,,alf_object,wheel,ONE-resolved ALF collection,true,Wheel timestamps and position
opto_behavior,eid,3c8df838-955c-4a47-880b-e76dcc2a9be6,3c8df838-955c-4a47-880b-e76dcc2a9be6,,,dataset,_ibl_laserStimulation.intervals.npy,ONE-resolved,true,Optogenetic trial timing
opto_behavior,eid,3c8df838-955c-4a47-880b-e76dcc2a9be6,3c8df838-955c-4a47-880b-e76dcc2a9be6,,,dataset_pattern,_iblrig_taskData.raw*,raw_behavior_data,false,Legacy fallback for optogenetic trial identification
opto_behavior,eid,3ca6c201-91f2-4ba9-8b8a-012446bdf7d2,3ca6c201-91f2-4ba9-8b8a-012446bdf7d2,,,alf_object,trials,ONE-resolved ALF collection,true,"Choices, contrasts, block probability, event times, feedback"
opto_behavior,eid,3ca6c201-91f2-4ba9-8b8a-012446bdf7d2,3ca6c201-91f2-4ba9-8b8a-012446bdf7d2,,,alf_object,wheel,ONE-resolved ALF collection,true,Wheel timestamps and position
opto_behavior,eid,3ca6c201-91f2-4ba9-8b8a-012446bdf7d2,3ca6c201-91f2-4ba9-8b8a-012446bdf7d2,,,dataset,_ibl_laserStimulation.intervals.npy,ONE-resolved,true,Optogenetic trial timing
opto_behavior,eid,3ca6c201-91f2-4ba9-8b8a-012446bdf7d2,3ca6c201-91f2-4ba9-8b8a-012446bdf7d2,,,dataset_pattern,_iblrig_taskData.raw*,raw_behavior_data,false,Legacy fallback for optogenetic trial identification
opto_behavior,eid,3ce813d3-75f1-4558-83ea-c125f71f6bba,3ce813d3-75f1-4558-83ea-c125f71f6bba,,,alf_object,trials,ONE-resolved ALF collection,true,"Choices, contrasts, block probability, event times, feedback"
opto_behavior,eid,3ce813d3-75f1-4558-83ea-c125f71f6bba,3ce813d3-75f1-4558-83ea-c125f71f6bba,,,alf_object,wheel,ONE-resolved ALF collection,true,Wheel timestamps and position
opto_behavior,eid,3ce813d3-75f1-4558-83ea-c125f71f6bba,3ce813d3-75f1-4558-83ea-c125f71f6bba,,,dataset,_ibl_laserStimulation.intervals.npy,ONE-resolved,true,Optogenetic trial timing
opto_behavior,eid,3ce813d3-75f1-4558-83ea-c125f71f6bba,3ce813d3-75f1-4558-83ea-c125f71f6bba,,,dataset_pattern,_iblrig_taskData.raw*,raw_behavior_data,false,Legacy fallback for optogenetic trial identification
opto_behavior,eid,3cf488ae-c327-4e58-b6f6-7b7d81721628,3cf488ae-c327-4e58-b6f6-7b7d81721628,,,alf_object,trials,ONE-resolved ALF collection,true,"Choices, contrasts, block probability, event times, feedback"
opto_behavior,eid,3cf488ae-c327-4e58-b6f6-7b7d81721628,3cf488ae-c327-4e58-b6f6-7b7d81721628,,,alf_object,wheel,ONE-resolved ALF collection,true,Wheel timestamps and position
opto_behavior,eid,3cf488ae-c327-4e58-b6f6-7b7d81721628,3cf488ae-c327-4e58-b6f6-7b7d81721628,,,dataset,_ibl_laserStimulation.intervals.npy,ONE-resolved,true,Optogenetic trial timing
