identifier_type,identifier,pipelines,figure_profiles,metadata_rows,mouse,eid,pid,probe_name
pid,9fedd1c6-33eb-48b6-b508-8deebe3ee44c,ephys_bs,supp1_optogenetic_validation,1,,edce1069-8e72-48af-bedf-6ac82914abdf,9fedd1c6-33eb-48b6-b508-8deebe3ee44c,probe01
pid,a02790bb-1dcf-4e9d-a8f0-c0a071bc2e37,ephys_bs,,1,SWC_NM_113,f52e81b7-8db6-4369-a044-26b68a3f8c91,a02790bb-1dcf-4e9d-a8f0-c0a071bc2e37,probe00
pid,a0d0e752-45e6-4728-85f7-6c57945b257b,ephys_bs,supp1_optogenetic_validation,1,,11f2f5b2-d542-4b58-9759-036e723c1d65,a0d0e752-45e6-4728-85f7-6c57945b257b,probe00
pid,a1289836-79d8-45ce-9481-072c9e5c71b0,ephys_bs,figure2_snr_bs_no_glmhmm,1,SWC_NM_113,fd73354c-65cc-4552-a736-b5ebc47a7552,a1289836-79d8-45ce-9481-072c9e5c71b0,probe00
pid,a327ddee-8b7c-4463-9c24-6f82d2bfe590,ephys_bs,,1,SWC_NM_102,0c6f91a6-f3d0-40eb-af28-f26e8369c599,a327ddee-8b7c-4463-9c24-6f82d2bfe590,probe00
pid,ae535cc1-87aa-4fa8-acca-8892c8f81e4c,ephys_bs,,1,SWC_NM_024,4f54fbea-064c-4a5b-942f-684fd5c28692,ae535cc1-87aa-4fa8-acca-8892c8f81e4c,probe00
pid,ae8674d7-c682-4f6e-a79c-a695f2f0b13b,ephys_bs,supp1_optogenetic_validation,1,,c3d66594-cf17-402a-bc59-b185242fb448,ae8674d7-c682-4f6e-a79c-a695f2f0b13b,probe00
pid,af47abd5-e9cb-4130-ba66-5a277141a1bb,ephys_bs,figure2_snr_bs_no_glmhmm,1,SWC_NM_113,f89442d6-da7c-4731-b88a-f264f6d1934b,af47abd5-e9cb-4130-ba66-5a277141a1bb,probe01
pid,b4b1e085-c8ba-4c4b-8125-369f79029d4e,ephys_bs,,1,SWC_NM_111,2cb4353f-ff13-4661-b1c5-aaf892ba47cb,b4b1e085-c8ba-4c4b-8125-369f79029d4e,probe00
pid,b7998d00-b4c4-4695-8fc3-f8001539c90e,ephys_bs,,1,SWC_NM_018,786b0feb-31a8-4598-a51d-7f13ffb936d1,b7998d00-b4c4-4695-8fc3-f8001539c90e,probe00
pid,b96ed9ce-1a0a-4818-b896-8aa79ca26801,ephys_bs,,1,SWC_NM_018,25863f4c-20d6-43e1-903d-088bcbfdc441,b96ed9ce-1a0a-4818-b896-8aa79ca26801,probe00
pid,bc5d45e1-7e63-4d32-94f2-f785be9e75f8,ephys_bs,,1,SWC_NM_026,091f5721-72f4-4f73-a4ed-037d86040778,bc5d45e1-7e63-4d32-94f2-f785be9e75f8,probe00
